Date,Year,Month,Exchange_Rate
2017-06-01,2017,6,152.83072
2017-07-01,2017,7,153.666004761905
2017-08-01,2017,8,153.192954545455
2017-09-01,2017,9,152.897384210526
2017-10-01,2017,10,153.526155
2017-11-01,2017,11,153.65987142857097
2017-12-01,2017,12,153.150552631579
2018-01-01,2018,1,162.464858736778
2018-02-01,2018,2,154.857866666667
2018-03-01,2018,3,155.728835
2018-04-01,2018,4,156.1354
2018-05-01,2018,5,157.89936666666696
2018-06-01,2018,6,159.07105789473704
2018-07-01,2018,7,159.33745714285703
2018-08-01,2018,8,160.353863636364
2018-09-01,2018,9,164.415257894737
2018-10-01,2018,10,171.224877272727
2018-11-01,2018,11,176.849642105263
2018-12-01,2018,12,180.09797
2019-01-01,2019,1,178.744925045848
2019-02-01,2019,2,178.733061111111
2019-03-01,2019,3,178.42975789473704
2019-04-01,2019,4,174.801185
2019-05-01,2019,5,176.444685714286
2019-06-01,2019,6,176.58886315789496
2019-07-01,2019,7,175.99017272727303
2019-08-01,2019,8,177.97049
2019-09-01,2019,9,180.77518
2019-10-01,2019,10,181.45112173913
2019-11-01,2019,11,180.37293684210496
2019-12-01,2019,12,181.25391
2020-01-01,2020,1,185.592557772213
2020-02-01,2020,2,181.5628
2020-03-01,2020,3,185.05668
2020-04-01,2020,4,193.085405555556
2020-05-01,2020,5,187.865047058824
2020-06-01,2020,6,185.954523809524
2020-07-01,2020,7,185.84869565217403
2020-08-01,2020,8,184.893855
2020-09-01,2020,9,185.031728571429
2020-10-01,2020,10,184.43791
2020-11-01,2020,11,184.7882
2020-12-01,2020,12,187.182204761905
2021-01-01,2021,1,197.04083333333332
2022-01-01,2022,1,201.46467368421
2022-02-01,2022,2,201.7362
2022-03-01,2022,3,255.808061904762
2022-04-01,2022,4,319.440433333333
2022-05-01,2022,5,358.939031578947
2022-06-01,2022,6,360.24280952381
2022-07-01,2022,7,360.87241
2022-08-01,2022,8,360.998277272727
2022-09-01,2022,9,362.382572727273
2022-10-01,2022,10,363.148421052632
