Date,Year,Month,Exchange_Rate,YoY_Change,Rolling_Avg,Exchange_Rate_Winsorized,Exchange_Rate_Change
1989-08-01,1989,8,36.318,396.62245323350504,33.995756944444445,36.318,4.533287280891107
1989-09-01,1989,9,39.464,394.9084525325945,34.53717361111111,39.464,8.66237127595133
1989-10-01,1989,10,40.0,366.79892636246933,35.122590277777775,40.0,1.3581998783701588
1989-11-01,1989,11,40.0,226.79738564761416,35.70817361111111,40.0,0.0
1989-12-01,1989,12,40.0,153.88765471278955,36.29167361111111,40.0,0.0
1990-01-01,1990,1,40.0629166666667,159.25656292797044,36.62632638888889,40.0629166666667,0.15729166666675898
1990-02-01,1990,2,40.0,160.96033404625265,37.20149305555556,40.0,-0.15704464852168698
1990-03-01,1990,3,40.0,159.01703038651925,37.75074305555556,40.0,0.0
1990-04-01,1990,4,40.0,154.17805174138516,38.25074305555556,40.0,0.0
1990-05-01,1990,5,40.0,151.73064820641912,38.73974305555556,40.0,0.0
1990-06-01,1990,6,40.0,153.24469770517535,39.21565972222223,40.0,0.0
1990-07-01,1990,7,40.0,155.80354289542774,39.65374305555556,40.0,0.0
1990-08-01,1990,8,39.981,155.9603073147222,39.95899305555556,39.981,-0.04750000000000032
1990-09-01,1990,9,39.934,154.7298590453996,39.99815972222222,39.934,-0.11755583902354205
1990-10-01,1990,10,40.276,158.0636893866896,40.02115972222222,40.276,0.8564130815846394
1990-11-01,1990,11,40.336,158.92925922833027,40.04915972222222,40.336,0.14897209256130584
1990-12-01,1990,12,40.228,158.48486797265852,40.06815972222223,40.228,-0.26775089250297146
1991-01-01,1991,1,41.3715,165.68162602557632,40.17720833333333,41.3715,2.8425474793675853
1991-02-01,1991,2,40.564,161.65258338783798,40.22420833333333,40.564,-1.9518267406306244
1991-03-01,1991,3,40.729,163.02227964242962,40.28495833333333,40.729,0.40676461887387827
1991-04-01,1991,4,40.808,162.81960455979907,40.352291666666666,40.808,0.19396498809203244
1991-05-01,1991,5,40.977,162.8752887004667,40.433708333333335,40.977,0.4141344834346139
1991-06-01,1991,6,41.194,163.8104386976504,40.533208333333334,41.194,0.5295653659370014
1991-07-01,1991,7,41.231,164.1319667049412,40.63579166666667,41.231,0.08981890566586159
1991-08-01,1991,8,41.739,167.47196413120614,40.782291666666666,41.739,1.2320826562537857
1991-09-01,1991,9,41.912,168.18530843794375,40.947125,41.912,0.4144804619181208
1991-10-01,1991,10,42.154,168.80499937946723,41.103625,42.154,0.577400267226591
1991-11-01,1991,11,42.365,171.17070985086093,41.272708333333334,42.365,0.500545618446635
1991-12-01,1991,12,42.513,174.578570044565,41.463125,42.513,0.3493449781659219
1992-01-01,1992,1,43.829625,165.08116908463853,41.66796875,43.829625,3.096993860701436
1992-02-01,1992,2,42.823,174.45363071204255,41.856218750000004,42.823,-2.296677190370666
1992-03-01,1992,3,43.112,168.46005355252504,42.054802083333335,43.112,0.674870980547837
1992-04-01,1992,4,43.387,167.3918402728579,42.26971875,43.387,0.6378734459083324
1992-05-01,1992,5,43.612,172.4387806267141,42.489302083333335,43.612,0.5185885172978022
1992-06-01,1992,6,43.928,173.89948873138167,42.71713541666667,43.928,0.7245712189305697
1992-07-01,1992,7,44.034,173.7751803204287,42.95071875,44.034,0.24130395192132337
1992-08-01,1992,8,44.142,167.02558830482283,43.150968750000004,44.142,0.2452650224826325
1992-09-01,1992,9,44.246,160.86905253227997,43.34546875,44.246,0.2356032803225938
1992-10-01,1992,10,44.433,155.1421188776998,43.535385416666664,44.433,0.42263707453780164
1992-11-01,1992,11,44.549,148.10091334372913,43.71738541666667,44.549,0.26106722481038513
1992-12-01,1992,12,45.0405,149.17293649037398,43.928010416666666,45.0405,1.1032795348941749
1993-01-01,1993,1,48.3221675,151.07967994020623,44.30238895833333,48.3221675,7.286037011134416
1993-02-01,1993,2,46.533,156.5214994487321,44.611555625,46.533,-3.702581222168888
1993-03-01,1993,3,47.045,159.85969952827332,44.939305625,47.045,1.1002944147164406
1993-04-01,1993,4,47.846,162.65920070267893,45.31088895833333,47.846,1.7026251461366604
1993-05-01,1993,5,48.0718,157.1509575402349,45.68253895833333,48.0718,0.47193077791247706
1993-06-01,1993,6,46.2447,147.07324893129635,45.87559729166667,46.2447,-3.800773010371983
1993-07-01,1993,7,48.8305,157.7759594709273,46.27530562500001,48.8305,5.5915596814337665
1993-08-01,1993,8,49.038,150.0152952100548,46.683305625,49.038,0.4249393309509353
1993-09-01,1993,9,49.0892,142.53557313451265,47.08690562500001,49.0892,0.10440882580855515
1993-10-01,1993,10,49.1806,135.9687170250441,47.48253895833334,49.1806,0.18619166741360438
1993-11-01,1993,11,49.31789,135.38511837702293,47.87994645833333,49.31789,0.2791547886768386
1993-12-01,1993,12,49.48882,141.18534042795386,48.250639791666664,49.48882,0.3465882258953057
1994-01-01,1994,1,49.4151416666667,137.43296216911207,48.34172097222223,49.4151416666667,-0.14887874338749274
1994-02-01,1994,2,49.367,139.00750424783382,48.57788763888889,49.367,-0.09742290529377584
1994-03-01,1994,3,49.1822,137.82495165560084,48.75598763888889,49.1822,-0.37433913342920233
1994-04-01,1994,4,49.1684,137.6433059563868,48.866187638888896,49.1684,-0.028058931889995975
1994-05-01,1994,5,49.2922,138.35686654924356,48.96788763888889,49.2922,0.25178773358498496
1994-06-01,1994,6,49.5557,139.1568939838404,49.24380430555556,49.5557,0.5345673351970559
1994-07-01,1994,7,49.2838,136.4525260392675,49.28157930555556,49.2838,-0.548675530766396
1994-08-01,1994,8,49.49641,136.97232729625946,49.31978013888889,49.49641,0.43139936449705374
1994-09-01,1994,9,49.518,136.80359620471538,49.35551347222222,49.518,0.043619325118737784
1994-10-01,1994,10,49.38026,136.42755914183797,49.37215180555555,49.38026,-0.278161476634764
1994-11-01,1994,11,49.3282,134.62804415119047,49.373010972222225,49.3282,-0.10542674339907299
1994-12-01,1994,12,49.7375,134.9100269321735,49.39373430555556,49.7375,0.8297485008575078
1995-01-01,1995,1,51.2515891666667,117.82692328974349,49.546771597222225,51.2515891666667,3.0441601742482005
1995-02-01,1995,2,50.20889,123.38890372946203,49.616929097222226,50.20889,-2.034471874181132
1995-03-01,1995,3,49.9598,117.38665043152845,49.681729097222224,49.9598,-0.49610736266026967
1995-04-01,1995,4,49.73833,116.63979268333287,49.72922326388889,49.73833,-0.4432964103138981
